con,upm,v_sel,n_hog,n_ren,n_ent,per,mes_cal,fac_tri,est_d_tri,t_loc_tri,sex,nac_dia,nac_mes,nac_anio,eda,c_res,eda7c,eda12c,clase1,clase2,clase3,pos_ocu,c_ocu11c,rama_est1,c_inac5c,ingocup,ing7c,ing_x_hrs,hrsocup,salario,ur,emp_ppal,seg_soc,niv_ins,anios_esc
40242,1106461,52,1,3,4,125,2,265,713,1,1,29,9,2000,24,1,2,2,1,1,1,1,5,2,0,0,1,0,50,8364,1,2,1,4,12
40373,1102841,1,1,2,5,125,2,160,145,1,2,6,11,1990,34,1,3,4,2,3,0,0,0,0,2,0,0,0,0,8364,1,0,0,4,13
40236,1103436,4,1,4,5,125,2,188,144,1,2,20,10,1999,25,1,2,3,1,1,1,1,6,3,0,6450,1,53.57143,28,8364,1,1,2,3,9
40088,1107646,51,1,2,3,125,2,224,714,1,1,28,12,2005,19,1,1,1,1,1,1,1,4,3,0,0,2,0,40,8364,1,2,1,4,12
40176,1106543,77,1,5,2,125,1,189,713,1,1,18,2,2002,22,1,2,2,1,2,6,0,0,0,0,0,0,0,0,8364,1,0,0,3,9
40379,1103350,5,1,4,5,125,2,174,146,1,1,12,1,1985,40,1,4,6,1,1,1,1,5,2,0,0,7,0,49,8364,1,1,2,4,12
40509,1103264,1,1,3,5,125,3,156,145,1,2,5,5,2009,15,1,1,1,2,4,0,0,0,0,1,0,0,0,0,8364,1,0,0,2,8
40301,1106683,55,2,2,4,125,2,287,714,1,2,18,6,1997,27,1,2,3,2,3,0,0,0,0,2,0,0,0,0,8364,1,0,0,3,9
40507,1107011,52,1,4,1,125,3,186,713,1,1,2,2,2010,15,1,1,1,2,4,0,0,0,0,1,0,0,0,0,8364,1,0,0,2,8
40552,1105616,54,1,2,1,125,1,187,714,1,2,27,9,1991,33,1,3,4,2,3,0,0,0,0,2,0,0,0,0,8364,1,0,0,4,16
40252,1107235,53,1,1,4,125,3,179,713,1,2,28,6,1961,63,1,6,10,2,4,0,0,0,0,3,0,0,0,0,8364,1,0,0,1,0
40498,1106377,54,1,2,1,125,2,187,713,1,2,25,1,1994,31,1,3,4,2,4,0,0,0,0,2,0,0,0,0,8364,1,0,0,2,6
40507,1107011,53,1,2,1,125,3,186,713,1,2,15,3,1985,39,1,3,5,1,1,1,1,6,3,0,0,7,0,54,8364,1,1,2,3,9
40266,1108255,52,1,5,4,125,2,180,713,1,1,18,4,2007,17,1,1,1,1,2,5,0,0,0,0,0,0,0,0,8364,1,0,0,3,10
40587,1106616,55,1,3,1,125,1,230,715,1,2,99,99,2010,15,1,1,1,2,4,0,0,0,0,1,0,0,0,0,8364,1,0,0,3,9
40010,1105775,53,1,3,3,125,2,188,713,1,1,23,9,1997,27,1,2,3,1,1,1,1,5,2,0,8600,2,27.77778,72,8364,1,2,1,3,9
40478,1106313,52,1,1,4,125,3,169,713,1,1,99,99,1964,61,1,6,10,1,1,1,1,5,2,0,0,7,0,8,8364,1,1,2,2,6
40016,1106035,54,2,2,3,125,96,177,713,1,2,99,3,1999,25,1,2,3,2,4,0,0,0,0,2,0,0,0,0,8364,1,0,0,3,9
40150,1108830,51,1,1,2,125,3,208,715,1,2,25,6,1947,77,1,6,11,2,4,0,0,0,0,2,0,0,0,0,8364,1,0,0,2,6
40473,1105955,55,1,2,4,125,3,190,713,1,2,14,8,1987,37,1,3,5,2,4,0,0,0,0,2,0,0,0,0,8364,1,0,0,4,12
40376,1104825,3,1,2,5,125,2,158,145,1,2,3,6,1977,47,1,4,7,1,1,1,1,6,3,0,8000,1,38.75969,48,8364,1,2,1,4,12
40331,1104832,5,1,2,5,125,3,103,146,1,2,19,10,1987,37,1,3,5,1,1,1,1,5,2,0,13760,2,80,40,8364,1,2,1,4,12
40226,1105528,52,1,2,2,125,3,302,714,1,2,99,99,2005,20,1,2,2,2,3,0,0,0,0,1,0,0,0,0,8364,1,0,0,3,11
40465,1102860,4,1,2,5,125,3,229,146,1,2,13,7,1994,30,1,3,4,1,1,3,1,1,3,0,20000,3,0,0,8364,1,2,1,4,16
40594,1107919,51,1,2,1,125,96,202,715,1,2,6,6,1994,30,1,3,4,1,1,1,1,1,3,0,22000,3,159.88372,32,8364,1,2,1,4,17
40379,1103350,5,1,1,5,125,2,174,146,1,2,5,9,1960,64,1,6,10,1,1,1,4,1,2,0,0,6,0,18,8364,1,1,2,3,12
40016,1106035,55,1,1,3,125,96,177,713,1,1,14,7,1944,80,1,6,11,2,4,0,0,0,0,3,0,0,0,0,8364,1,0,0,2,7
40301,1106683,55,1,1,4,125,2,287,714,1,1,99,10,1968,56,1,5,9,1,1,1,1,6,3,0,0,2,0,60,8364,1,2,1,4,12
40008,1105596,51,1,3,3,125,3,227,713,1,2,99,99,2000,25,1,2,3,1,1,1,3,6,3,0,0,7,0,30,8364,1,1,2,4,12
40303,1106878,55,1,1,4,125,1,361,714,1,1,2,3,1989,35,1,3,5,1,1,1,1,1,3,0,0,3,0,35,8364,1,2,1,4,16
40511,1103044,5,1,3,5,125,3,91,145,1,2,29,7,1996,28,1,2,3,2,4,0,0,0,0,2,0,0,0,0,8364,1,0,0,4,12
40109,1107002,54,1,1,3,125,1,193,715,1,2,1,12,1965,59,1,5,9,2,4,0,0,0,0,3,0,0,0,0,8364,1,0,0,4,16
40564,1107429,52,1,1,1,125,2,191,714,1,1,21,6,1954,70,1,6,11,2,3,0,0,0,0,3,0,0,0,0,8364,1,0,0,3,9
40194,1108104,52,1,2,2,125,96,164,713,1,1,26,2,1983,41,1,4,6,1,1,1,2,5,2,0,17200,3,200,20,8364,1,1,2,1,0
40303,1106878,52,1,4,4,125,1,361,714,1,2,10,11,2001,23,1,2,2,1,1,3,1,2,3,0,8400,2,0,0,8364,1,2,1,4,16
40291,1106728,54,1,1,4,125,3,85,723,4,1,21,6,1966,58,1,5,9,1,1,1,1,5,2,0,8600,2,36.36364,55,8364,1,1,2,1,0
40331,1104832,5,1,4,5,125,2,103,146,1,1,21,2,2008,16,1,1,1,1,1,1,1,4,3,0,10750,2,37.87879,66,8364,1,1,2,3,9
40187,1107728,55,1,1,2,125,3,168,713,1,1,7,11,1975,49,1,4,7,1,1,1,1,6,3,0,0,7,0,48,8364,1,2,1,3,11
40002,1102742,1,1,1,5,125,96,126,144,1,2,3,9,1968,56,1,5,9,2,4,0,0,0,0,2,0,0,0,0,8364,1,0,0,1,3
40056,1108843,51,1,1,3,125,1,188,713,1,2,15,7,1969,55,1,5,9,2,4,0,0,0,0,2,0,0,0,0,8364,1,0,0,3,9
40238,1107406,52,1,2,2,125,3,178,714,1,2,14,11,1965,59,1,5,9,1,1,1,1,5,2,0,8170,1,47.5,40,8364,1,2,1,3,9
40098,1103605,4,1,4,5,125,1,176,144,1,1,99,12,1993,31,1,3,4,1,2,6,0,0,0,0,0,0,0,0,8364,1,0,0,3,9
40108,1106615,52,1,1,3,125,1,293,715,1,2,24,2,1966,58,1,5,9,1,1,1,2,6,3,0,0,2,0,40,8364,1,1,2,4,17
40465,1102860,4,1,1,5,125,3,229,146,1,1,6,7,1997,27,1,2,3,1,1,1,1,9,3,0,18000,3,74.75083,56,8364,1,2,1,4,12
40092,1108019,52,1,2,3,125,1,189,714,1,2,10,6,2005,19,1,1,1,1,1,1,1,8,3,0,8600,2,33.33333,60,8364,1,2,1,4,12
40500,1106468,51,1,1,1,125,1,220,713,1,2,22,4,1965,59,1,5,9,1,1,1,1,8,3,0,1505,1,116.66667,3,8364,1,1,2,1,0
40024,1106564,55,1,1,3,125,2,212,713,1,2,30,7,1964,60,1,6,10,2,3,0,0,0,0,3,0,0,0,0,8364,1,0,0,3,9
40247,1106827,53,1,1,4,125,3,205,713,1,1,22,7,1982,42,1,4,6,1,1,1,1,8,3,0,12900,2,55.55556,54,8364,1,1,2,4,12
40517,1107996,53,1,5,1,125,1,304,713,1,1,31,3,2008,16,1,1,1,2,4,0,0,0,0,1,0,0,0,0,8364,1,0,0,3,9
40172,1106334,51,1,4,2,125,1,289,713,1,1,5,6,1987,37,1,3,5,1,1,1,3,5,2,0,0,7,0,36,8364,1,1,2,2,6
40513,1103674,3,1,1,5,125,3,448,144,1,2,4,12,1974,50,1,5,8,1,1,1,2,6,3,0,0,7,0,40,8364,1,2,2,4,12
40100,1104192,4,1,4,5,125,1,191,143,1,1,14,11,2001,23,1,2,2,1,1,1,3,8,3,0,6450,1,31.25,48,8364,1,1,2,3,9
40194,1108104,52,1,1,2,125,96,164,713,1,2,8,2,1987,37,1,3,5,1,1,1,1,5,2,0,8600,2,71.42857,28,8364,1,1,2,3,9
40416,1102995,5,1,10,5,125,3,127,144,1,2,99,99,1987,38,3,3,5,1,2,6,0,0,0,0,0,0,0,0,8364,1,0,0,1,3
40141,1102098,5,1,2,5,125,1,124,144,1,1,23,8,1983,41,1,4,6,1,1,1,3,5,2,0,0,7,0,72,8364,1,2,2,3,9
40144,1107152,52,1,1,2,125,1,243,715,1,1,19,6,1981,43,1,4,6,1,1,1,1,1,2,0,0,7,0,49,8364,1,2,1,4,17
40266,1108255,52,1,2,4,125,2,180,713,1,2,21,3,1980,44,1,4,6,1,1,1,1,5,2,0,8385,2,47.56098,41,8364,1,1,2,3,9
40054,1104673,5,1,2,5,125,1,124,144,1,2,10,12,1984,40,1,4,6,1,1,1,1,1,3,0,9890,2,51.11111,45,8364,1,2,1,4,12
40187,1107728,55,1,4,2,125,3,168,713,1,1,24,8,2005,19,1,1,1,2,3,0,0,0,0,1,0,0,0,0,8364,1,0,0,4,12
40280,1102673,3,1,2,5,125,2,126,145,1,1,19,3,1992,32,1,3,4,1,1,1,1,1,3,0,12900,2,75,40,8364,1,1,2,4,16
40328,1104049,5,1,1,5,125,2,176,144,1,1,17,10,1968,56,1,5,9,1,1,1,1,5,2,0,10750,2,55.55556,45,8364,1,2,1,3,9
40478,1106313,52,1,3,4,125,3,169,713,1,2,99,99,1991,34,1,3,4,1,1,1,3,6,3,0,0,7,0,36,8364,1,1,2,3,9
40002,1102742,1,1,2,5,125,96,126,144,1,2,15,10,1991,33,1,3,4,1,1,1,3,8,3,0,5375,1,41.66667,30,8364,1,1,2,3,9
40080,1106621,55,1,3,3,125,1,178,714,1,1,3,4,1986,38,1,3,5,1,1,1,3,5,3,0,0,7,0,35,8364,1,2,2,4,12
40181,1107000,54,1,5,2,125,96,303,713,1,1,99,99,1998,27,3,2,3,1,1,3,1,5,2,0,0,7,0,0,8364,1,1,3,3,9
40559,1103572,2,1,2,5,125,3,126,145,1,2,11,10,1984,40,1,4,6,1,1,1,1,6,3,0,7740,1,33.33333,54,8364,1,2,1,4,17
40031,1107211,55,1,4,3,125,1,202,713,1,2,9,11,1993,31,1,3,4,1,1,1,4,6,3,0,0,6,0,36,8364,1,1,2,3,9
40521,1108150,54,1,3,1,125,3,183,713,1,1,2,3,2008,17,1,1,1,1,1,1,1,4,3,0,8170,1,31.66667,60,8364,1,1,2,3,9
40555,1102984,5,1,1,5,125,3,134,144,1,1,31,5,1950,74,1,6,11,1,1,2,1,5,3,0,0,1,0,2,8364,1,1,2,1,0
40555,1102984,5,1,2,5,125,3,134,144,1,1,18,10,1998,26,1,2,3,1,1,1,3,8,3,0,0,1,0,54,8364,1,2,2,3,9
40555,1102984,5,1,3,5,125,3,134,144,1,1,13,5,1967,57,1,5,9,2,3,0,0,0,0,2,0,0,0,0,8364,1,0,0,3,9
40328,1104049,3,1,4,5,125,2,176,144,1,1,4,10,2006,18,1,1,1,1,1,1,1,5,2,0,6450,1,33.33333,45,8364,1,1,3,4,12
40375,1103874,5,1,4,5,125,2,159,144,1,2,14,8,2003,21,1,2,2,2,4,0,0,0,0,2,0,0,0,0,8364,1,0,0,3,9
40288,1107135,53,1,3,4,125,2,98,721,3,1,15,5,1990,34,1,3,4,1,1,1,1,5,2,0,0,7,0,50,8364,1,2,1,4,14
40497,1106321,54,1,1,1,125,3,175,713,1,2,4,8,1960,64,1,6,10,1,1,1,1,8,3,0,6450,1,40.54054,37,8364,1,1,2,2,6
